customer_id,first_name,last_name,email,phone,address,city,state,country,signup_date
1,Robert,Soto,jennifercruz@example.com,220.516.3287,2788 Dodson Mills,Rivasside,New Hampshire,Canada,2022-09-20
2,Phyllis,Manning,wcole@example.org,+1-348-473-4714x3455,62316 Rivera Mountain,Brownchester,Missouri,India,2022-04-18
3,Rebecca,Silva,gateskathy@example.com,805.946.6889x3734,5627 Tina Place,South Brittanytown,Colorado,Australia,2022-01-30
4,Dawn,Taylor,qwhite@example.com,737-555-6464x17080,003 Mary Road,East David,Texas,South Africa,2021-09-02
5,Danny,Gould,xlyons@example.com,(699)812-4190,319 Curtis Trail Suite 919,West Amandastad,California,Italy,2024-01-03
6,William,Peterson,gshort@example.com,(672)762-8498x776,47379 Rogers Park,Hunterborough,Minnesota,United Kingdom,2022-01-15
7,Lauren,Peterson,angela83@example.org,367.683.7770,3495 Tran Key,Barajasside,Michigan,South Africa,2022-03-20
8,Michael,Chavez,john13@example.com,682-333-7498,3524 Jean Crossroad,Brandonton,Oklahoma,Canada,2023-09-19
9,Kelly,Raymond,agarcia@example.net,377-275-2047x1167,94131 Obrien Turnpike,Port Alexandra,New Hampshire,Italy,2024-04-22
10,Rebekah,Evans,ntorres@example.org,+1-213-834-1232x812,974 Jesse Squares Suite 713,Kristinshire,Texas,Brazil,2023-12-11
11,Linda,Gonzalez,stephensdeborah@example.com,(310)924-9947,648 Kim Rapid Apt. 659,Anthonybury,Utah,India,2022-08-03
12,Mary,Johnston,keyemily@example.com,001-802-978-7429,5655 Mia Isle,Steeleport,Texas,Canada,2022-02-02
13,Sierra,Cervantes,gibsonleonard@example.com,768-908-7603,34824 Gilmore Oval Apt. 093,West Andrea,Oklahoma,Australia,2022-04-11
14,Ricky,Walker,murraydavid@example.org,448.346.7737x8263,5840 Barber Villages Suite 278,Reedside,Wisconsin,Canada,2022-01-03
15,Amy,Gibson,molly39@example.com,260.457.6627,71870 Robert Shoal Apt. 174,Cindyfurt,Tennessee,South Africa,2021-01-29
16,Christopher,Murphy,ofinley@example.net,001-478-609-1343x16117,50455 Thomas Pines,Knightburgh,Hawaii,Germany,2023-12-30
17,Gregory,Lynch,pharvey@example.com,001-623-474-7407,5946 Bryant Hollow,South Melissa,Connecticut,United States,2022-07-16
18,John,Armstrong,victoria40@example.net,(640)490-9743x9533,047 Bethany Street,North Renee,Massachusetts,Japan,2021-04-22
19,Julie,Thompson,kristinwalter@example.com,784.324.7451x71236,48175 Richards View Suite 137,New Nicoleside,Massachusetts,South Africa,2022-08-22
20,Rose,Walker,reidsteven@example.net,861-920-0471x1382,869 Nicole Shoal Apt. 796,Antoniostad,Indiana,Mexico,2021-09-16
21,Scott,Sampson,cory58@example.net,(706)543-1713x900,318 Brenda Via,West Kim,Rhode Island,India,2023-10-03
