employee_id,first_name,last_name,title,email,hire_date,manager_id
1,Sandra,Wise,Marketing Specialist,martinreid@stewart.com,2023-03-22,
2,Andres,Barr,Marketing Specialist,oreyes@hall.com,2023-09-22,1
3,Andrew,Blake,Logistics Coordinator,parkerjoann@harvey.com,2021-08-16,1
4,Nicholas,Phillips,Logistics Coordinator,nicholasmay@mclean.info,2019-09-25,2
5,Jocelyn,Murphy,Logistics Coordinator,lonnie08@wong-roberts.com,2024-02-08,3
6,Jeremy,Quinn,Logistics Coordinator,john80@mcneil.com,2020-06-19,5
7,Cathy,James,Sales Associate,isaiah01@jones-lee.com,2020-09-16,6
8,Shawna,Martinez,Customer Support Rep,brittanyguerra@young.biz,2021-06-09,1
9,Jessica,Collins,Logistics Coordinator,johnthompson@turner.info,2023-01-15,3
10,Tammy,Harris,Logistics Coordinator,xmiller@gray-ruiz.biz,2022-08-09,6
11,William,Moss,Warehouse Staff,lorileon@gill.com,2023-04-28,8
12,Katherine,Dorsey,Sales Associate,angelathompson@ford-chavez.biz,2019-04-26,6
13,Anna,Castillo,Sales Associate,derrick73@hendricks.com,2020-04-17,8
14,Michelle,Cross,Support Team Lead,travis66@brooks.org,2021-05-12,5
15,Charles,Dyer,Warehouse Staff,cruzariel@hines.com,2023-01-04,10
16,William,Burns,Logistics Coordinator,heather66@wright.com,2022-02-02,12
17,Crystal,Rhodes,Sales Associate,josegibson@hernandez.com,2022-05-23,11
18,Alexander,Wise,Sales Manager,lsanders@stone.biz,2022-08-06,7
